,KABKOT,month,geometry,longitude,latitude,year,pm2p5,time
0,JAKARTA BARAT,1,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,1.1501308876969141e-07,2020-01-01 09:36:00
1,JAKARTA BARAT,2,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,1.2246749540700743e-07,2020-02-01 09:36:00
2,JAKARTA BARAT,3,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,1.3886941819970004e-07,2020-02-29 14:24:00
3,JAKARTA BARAT,4,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,1.684146449605343e-07,2020-03-31 14:24:00
4,JAKARTA BARAT,5,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,1.8517831323213337e-07,2020-04-30 14:24:00
5,JAKARTA BARAT,6,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,1.9052051939875515e-07,2020-05-31 14:24:00
6,JAKARTA BARAT,7,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,1.87689213640023e-07,2020-06-30 14:24:00
7,JAKARTA BARAT,8,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,1.7983480537549746e-07,2020-07-31 14:24:00
8,JAKARTA BARAT,9,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,1.747738592786282e-07,2020-08-31 14:24:00
9,JAKARTA BARAT,10,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,1.73941607578775e-07,2020-09-30 14:24:00
10,JAKARTA BARAT,11,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,1.5028832308461164e-07,2020-10-31 14:24:00
11,JAKARTA BARAT,12,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,1.22039593060784e-07,2020-11-30 14:24:00
12,JAKARTA PUSAT,1,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,1.1955868466628748e-07,2020-01-01 09:36:00
13,JAKARTA PUSAT,2,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,1.2642034191046085e-07,2020-02-01 09:36:00
14,JAKARTA PUSAT,3,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,1.4462462566555696e-07,2020-02-29 14:24:00
15,JAKARTA PUSAT,4,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,1.7289247737295614e-07,2020-03-31 14:24:00
16,JAKARTA PUSAT,5,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,1.8860203221038598e-07,2020-04-30 14:24:00
17,JAKARTA PUSAT,6,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,1.9297284234909605e-07,2020-05-31 14:24:00
18,JAKARTA PUSAT,7,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,1.8896795554468705e-07,2020-06-30 14:24:00
19,JAKARTA PUSAT,8,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,1.8037003668780835e-07,2020-07-31 14:24:00
20,JAKARTA PUSAT,9,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,1.759048154497151e-07,2020-08-31 14:24:00
21,JAKARTA PUSAT,10,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,1.7569108007187335e-07,2020-09-30 14:24:00
