,KABKOT,month,year,longitude,latitude,so2,time
0,JAKARTA BARAT,1,2018,106.74999999999996,-6.158333333333336,63.57745799296609,2018-01-01
5,JAKARTA BARAT,2,2018,106.74999999999996,-6.158333333333336,69.89625058676097,2018-02-01
10,JAKARTA BARAT,3,2018,106.74999999999996,-6.158333333333336,88.28705103922816,2018-03-01
15,JAKARTA BARAT,4,2018,106.74999999999996,-6.158333333333336,106.55995726107682,2018-04-01
20,JAKARTA BARAT,5,2018,106.74999999999996,-6.158333333333336,118.13367132807434,2018-05-01
25,JAKARTA BARAT,6,2018,106.74999999999996,-6.158333333333336,115.97892626791763,2018-06-01
30,JAKARTA BARAT,7,2018,106.74999999999996,-6.158333333333336,120.37928327972365,2018-07-01
35,JAKARTA BARAT,8,2018,106.74999999999996,-6.158333333333336,97.5393657215962,2018-08-01
40,JAKARTA BARAT,9,2018,106.74999999999996,-6.158333333333336,95.48847531639899,2018-09-01
45,JAKARTA BARAT,10,2018,106.74999999999996,-6.158333333333336,87.41862501950129,2018-10-01
50,JAKARTA BARAT,11,2018,106.74999999999996,-6.158333333333336,91.67400779214516,2018-11-01
55,JAKARTA BARAT,12,2018,106.74999999999996,-6.158333333333336,76.69276132932778,2018-12-01
60,JAKARTA PUSAT,1,2018,106.84999999999997,-6.200000000000003,66.73464212709015,2018-01-01
65,JAKARTA PUSAT,2,2018,106.84999999999997,-6.200000000000003,72.35914107640286,2018-02-01
70,JAKARTA PUSAT,3,2018,106.84999999999997,-6.200000000000003,91.41628033445998,2018-03-01
75,JAKARTA PUSAT,4,2018,106.84999999999997,-6.200000000000003,108.14081411704768,2018-04-01
80,JAKARTA PUSAT,5,2018,106.84999999999997,-6.200000000000003,120.1971047073894,2018-05-01
85,JAKARTA PUSAT,6,2018,106.84999999999997,-6.200000000000003,117.54205683457307,2018-06-01
90,JAKARTA PUSAT,7,2018,106.84999999999997,-6.200000000000003,121.21812332400644,2018-07-01
95,JAKARTA PUSAT,8,2018,106.84999999999997,-6.200000000000003,98.00943229863884,2018-08-01
100,JAKARTA PUSAT,9,2018,106.84999999999997,-6.200000000000003,96.38689497689468,2018-09-01
105,JAKARTA PUSAT,10,2018,106.84999999999997,-6.200000000000003,88.41629576223352,2018-10-01
110,JAKARTA PUSAT,11,2018,106.84999999999997,-6.200000000000003,93.55952529712071,2018-11-01
115,JAKARTA PUSAT,12,2018,106.84999999999997,-6.200000000000003,79.20391585702976,2018-12-01
120,JAKARTA SELATAN,1,2018,106.8083333333333,-6.283333333333336,69.59266816631919,2018-01-01
125,JAKARTA SELATAN,2,2018,106.8083333333333,-6.283333333333336,76.98403383226044,2018-02-01
130,JAKARTA SELATAN,3,2018,106.8083333333333,-6.283333333333336,96.64486620619716,2018-03-01
135,JAKARTA SELATAN,4,2018,106.8083333333333,-6.283333333333336,117.06301847485663,2018-04-01
140,JAKARTA SELATAN,5,2018,106.8083333333333,-6.283333333333336,130.03991982257324,2018-05-01
145,JAKARTA SELATAN,6,2018,106.8083333333333,-6.283333333333336,126.84539051097609,2018-06-01
150,JAKARTA SELATAN,7,2018,106.8083333333333,-6.283333333333336,129.89281703708988,2018-07-01
155,JAKARTA SELATAN,8,2018,106.8083333333333,-6.283333333333336,104.42627638253269,2018-08-01
160,JAKARTA SELATAN,9,2018,106.8083333333333,-6.283333333333336,101.64420828632711,2018-09-01
165,JAKARTA SELATAN,10,2018,106.8083333333333,-6.283333333333336,93.3724853613437,2018-10-01
170,JAKARTA SELATAN,11,2018,106.8083333333333,-6.283333333333336,98.86102156834919,2018-11-01
175,JAKARTA SELATAN,12,2018,106.8083333333333,-6.283333333333336,83.24436966727312,2018-12-01
180,JAKARTA TIMUR,1,2018,106.90999999999997,-6.2600000000000025,68.84024193539639,2018-01-01
185,JAKARTA TIMUR,2,2018,106.90999999999997,-6.2600000000000025,74.18135035018574,2018-02-01
190,JAKARTA TIMUR,3,2018,106.90999999999997,-6.2600000000000025,93.48866622592274,2018-03-01
195,JAKARTA TIMUR,4,2018,106.90999999999997,-6.2600000000000025,109.92725498517113,2018-04-01
200,JAKARTA TIMUR,5,2018,106.90999999999997,-6.2600000000000025,122.65105424216475,2018-05-01
205,JAKARTA TIMUR,6,2018,106.90999999999997,-6.2600000000000025,119.45760889220507,2018-06-01
210,JAKARTA TIMUR,7,2018,106.90999999999997,-6.2600000000000025,122.16915156786054,2018-07-01
215,JAKARTA TIMUR,8,2018,106.90999999999997,-6.2600000000000025,98.28114392097827,2018-08-01
220,JAKARTA TIMUR,9,2018,106.90999999999997,-6.2600000000000025,96.48872824806128,2018-09-01
225,JAKARTA TIMUR,10,2018,106.90999999999997,-6.2600000000000025,88.66387864382526,2018-10-01
230,JAKARTA TIMUR,11,2018,106.90999999999997,-6.2600000000000025,94.53257882490922,2018-11-01
235,JAKARTA TIMUR,12,2018,106.90999999999997,-6.2600000000000025,80.71123470042419,2018-12-01
240,JAKARTA UTARA,1,2018,106.89166666666664,-6.1250000000000036,62.54307274686298,2018-01-01
245,JAKARTA UTARA,2,2018,106.89166666666664,-6.1250000000000036,66.42338205989877,2018-02-01
250,JAKARTA UTARA,3,2018,106.89166666666664,-6.1250000000000036,84.55406425883706,2018-03-01
255,JAKARTA UTARA,4,2018,106.89166666666664,-6.1250000000000036,97.86194558402495,2018-04-01
